end up with 		:	1. 결국 ~하게 되다
fail·ure 	[ˈfeɪljə(r)] 	:	1.명사 실패 The success or failure of the plan depends on you.  그 계획이 성공하느냐 실패하느냐는 네게 달렸다.  2.명사 실패자; 실패작 The whole thing was a complete failure.  그 일은 전부 완전 실패작이었다.  3.명사 ~하지 않음, ~ 불이행 the failure of the United Nations to maintain food supplies  유엔의 식량 공급 지속 불이행
op·ti·mize	[|ɑːptɪmaɪz] 	:	1.동사 …을 최대한 좋게[적합하게] 만들다[활용하다] to optimize the use of resources  자원 이용을 최대한 잘하다
thresh·old 	[|θreʃhoʊld] 	:	1.명사 문지방 She stood hesitating on the threshold.  그녀는 문지방에서 머뭇거리며 서 있었다.  2.명사 한계점 He has a low boredom threshold.  그는 지루함을 느끼는 한계점이 낮다[쉽게 지루해 한다].  3.명사 (비유적인 의미의) 문턱 She felt as though she was on the threshold of a new life.  그녀는 자신이 새로운 삶의 문턱에 서 있는 것 같은 기분을 느꼈다.
com·pel 	[kəmˈpel] 	:	1.동사 강요[강제]하다; (필요에 따라) …하게 만들다 The law can compel fathers to make regular payments for their children.  아버지가 자녀들을 위해 정기적으로 돈을 지불하도록 법으로 강제할 수 있다.  2.동사 (어떤 반응을) 자아내다[불러오다] He spoke with an authority that compelled the attention of the whole crowd.  그는 모든 군중의 관심을 끄는 권위를 풍기며 연설을 했다.  출처
abyss 	[əˈbɪs] 	:	1.명사 심연, 깊은 구렁 Ahead of them was a gaping abyss.  그들 앞에 깊은 구렁텅이가 아가리를 떡 벌리고 있었다.  출처
bear in mind 		:	1.…을 명심하다, 유념하다 Please bear in mind that for this system to be successful there must be full cooperation between staff and management.  이 제도가 성공하기 위해서는 직원과 경영진 사이에 충분한 협조가 있어야 한다는 점을 명심해주시기 바랍니다.
entre·pre·neur 	[|ɑːntrəprə|nɜː(r)] 	:	1. 명사 (특히 모험적인) 사업가[기업가]
entrenched 		:	1. 형용사 참호로 둘러싸인; 견고한, 확립된.
straight·for·ward 	[|streɪt|fɔːrwərd] 	:	1.형용사 간단한, 쉬운, 복잡하지 않은 a straightforward process  간단한 절차  2.형용사 솔직한
re·lent·less 	[rɪˈlentləs] 	:	1.형용사 수그러들지 않는, 끈질긴 her relentless pursuit of perfection  수그러들 줄 모르는 그녀의 완벽 추구  2.형용사 가차 없는 a relentless enemy  가차 없는 적
